UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
100654,1417,1692,84,1525,0,0,1525,884,58,10,0,0,10,4,40,18
100663,2361,3766,63,2090,0,0,2090,1754,84,52,0,0,52,31,60,19
100690,,,,,,,,,,0,0,0,0,0,,13
100706,1191,2040,58,1328,0,0,1328,1049,79,17,0,0,17,3,18,19
100724,797,1027,78,926,0,0,926,596,64,49,3,0,46,10,22,13
100751,7540,9223,82,6466,2,0,6464,5724,89,41,0,0,41,22,54,19
100760,219,817,27,225,0,0,225,143,64,53,0,0,53,13,25,15
100812,,,,,,,,,,,,,,,,14
100830,517,1195,43,641,0,0,641,404,63,33,0,1,34,8,24,15
100858,5254,6571,80,4869,6,0,4863,4517,93,45,3,0,42,35,83,20
100937,244,269,91,256,0,0,256,200,78,,,,,,,10
101028,172,609,28,190,0,0,190,114,60,70,0,0,70,18,26,12
101116,12,96,13,2,0,0,2,1,50,4,0,0,4,1,25,15
101143,340,774,44,316,0,0,316,208,66,88,0,0,88,33,38,16
101161,1047,3028,35,928,0,0,928,588,63,225,0,0,225,102,45,16
101189,207,621,33,277,0,0,277,180,65,11,0,0,11,4,36,13
101240,625,1808,35,637,0,0,637,379,59,179,0,0,179,59,33,15
101277,,,,44,0,0,44,37,84,,,,,,,14
101286,514,1499,34,382,0,0,382,253,66,215,0,0,215,112,52,14
101295,961,2369,41,925,0,0,925,594,64,360,0,0,360,146,41,18
101301,219,818,27,179,0,0,179,111,62,56,0,0,56,23,41,14
101365,32,151,21,2,0,0,2,1,50,2,0,0,2,1,50,14
101435,250,296,84,219,0,0,219,158,72,,,,,,,15
101453,3,27,11,2,0,0,2,2,100,0,0,0,0,0,,6
101462,57,366,16,63,0,0,63,26,41,38,0,0,38,14,37,12
101471,178,245,73,85,0,0,85,51,60,41,0,0,41,10,24,9
101480,1782,2988,60,1290,0,0,1290,893,69,23,0,0,23,7,30,19
101505,854,3877,22,938,0,0,938,549,59,555,0,0,555,239,43,19
101514,886,3357,26,896,1,0,895,575,64,591,1,0,590,259,44,20
101569,426,1214,35,455,1,0,454,282,62,235,0,0,235,89,38,17
101587,301,770,39,245,1,0,244,153,63,9,0,0,9,6,67,14
101602,383,950,40,279,0,0,279,175,63,35,0,0,35,16,46,16
101648,179,180,99,255,1,0,254,97,38,,,,,,,11
101675,380,513,74,394,0,0,394,236,60,5,0,0,5,1,20,16
101693,250,620,40,249,0,0,249,160,64,1,0,0,1,1,100,14
101709,478,687,70,455,0,0,455,323,71,16,0,0,16,9,56,12
101736,408,1573,26,487,0,0,487,315,65,155,0,0,155,70,45,17
101879,985,2205,45,905,0,0,905,678,75,27,0,0,27,10,37,17
101897,352,948,37,327,0,0,327,233,71,83,0,0,83,40,48,16
101912,280,347,81,303,0,0,303,222,73,0,0,0,0,0,,10
101994,73,201,36,37,0,0,37,27,73,7,0,0,7,1,14,12
102030,342,1047,33,224,0,0,224,129,58,87,0,0,87,42,48,15
102049,918,1022,90,971,0,0,971,867,89,,,,,,,12
102058,1,4,25,0,0,0,0,0,,0,0,0,0,0,,3
102067,661,1788,37,615,0,0,615,391,64,223,0,0,223,98,44,19
102076,488,1242,39,445,0,0,445,316,71,57,0,0,57,21,37,19
102094,1751,2655,66,1544,0,0,1544,1096,71,27,0,0,27,10,37,17
102234,215,269,80,243,0,0,243,191,79,0,0,0,0,0,,11
102270,109,194,56,118,0,0,118,75,64,4,0,0,4,4,100,14
102298,216,361,60,342,0,0,342,204,60,9,0,0,9,2,22,22
102313,259,789,33,151,0,0,151,90,60,90,0,0,90,26,29,15
102368,1362,2867,48,1501,0,0,1501,1111,74,282,0,0,282,81,29,16
102377,545,621,88,485,0,0,485,386,80,0,0,0,0,0,,9
102395,,,,0,0,0,0,0,,0,0,0,0,0,,9
102429,451,1459,31,404,0,0,404,272,67,192,0,0,192,111,58,12
102553,665,1864,36,578,0,0,578,397,69,170,0,0,170,86,51,12
102580,6,17,35,6,0,0,6,6,100,0,0,0,0,0,,5
102614,538,1488,36,368,0,0,368,250,68,54,0,0,54,29,54,12
102632,111,382,29,68,0,0,68,44,65,26,0,0,26,9,35,9
102669,35,169,21,19,0,0,19,13,68,4,0,0,4,2,50,8
102711,,,,52,0,0,52,49,94,103,0,0,103,103,100,12
102845,,,,0,0,0,0,0,,,,,,,,25
103501,,,,289,2,0,287,207,72,,,,,,,15
103741,,,,48,0,0,48,41,85,16,0,0,16,5,31,19
103893,,,,206,0,0,206,126,61,,,,,,,38
103909,,,,88,1,0,87,47,54,,,,,,,21
103927,,,,49,0,0,49,37,76,,,,,,,30
103954,,,,3,0,0,3,1,33,,,,,,,24
103963,,,,59,0,0,59,29,49,0,0,0,0,0,,15
104090,,,,15,0,0,15,7,47,,,,,,,20
104151,14097,19351,73,12427,162,0,12265,10548,86,250,7,0,243,99,41,18
104160,514,2716,19,393,0,0,393,258,66,819,0,0,819,418,51,20
104179,6012,11136,54,5374,15,0,5359,4503,84,1960,0,0,1960,1237,63,17
104346,395,2924,14,324,0,0,324,190,59,717,0,0,717,284,40,15
104391,,,,49,0,0,49,30,61,,,,,,,18
104425,528,855,62,478,0,0,478,308,64,184,0,0,184,82,45,14
104443,,,,14,0,0,14,11,79,6,0,0,6,2,33,11
104568,,,,96,2,0,94,85,90,73,0,0,73,65,89,20
104577,488,962,51,348,1,0,347,203,59,131,0,0,131,47,36,16
104586,744,870,86,739,0,0,739,573,78,4,0,0,4,2,50,17
104708,1072,3530,30,908,0,0,908,575,63,681,0,0,681,289,42,15
104717,6722,19693,34,6613,2,0,6611,4667,71,948,2,0,946,402,42,20
105145,212,1548,14,196,0,0,196,120,61,165,0,0,165,74,45,11
105154,1010,4266,24,973,0,0,973,619,64,682,0,0,682,306,45,15
105206,110,646,17,87,0,0,87,54,62,178,0,0,178,84,47,13
105215,,,,285,0,0,285,161,56,,,,,,,30
105297,64,140,46,11,0,0,11,1,9,0,0,0,0,0,,12
105330,4749,7479,63,4588,0,0,4588,3416,74,624,0,0,624,282,45,21
105349,25,1467,2,24,0,0,24,10,42,47,0,0,47,13,28,12
105367,,,,,,,,,,,,,,,,9
105428,462,2317,20,413,0,0,413,264,64,377,0,0,377,167,44,12
105525,855,4119,21,825,1,0,824,536,65,1282,0,0,1282,602,47,16
105534,,,,0,0,0,0,0,,,,,,,,20
105543,,,,77,0,0,77,9,12,,,,,,,13
105589,36,99,36,52,0,0,52,39,75,1,0,0,1,1,100,9
105659,,,,253,2,0,251,199,79,,,,,,,34
105668,96,2628,4,109,0,0,109,40,37,226,0,0,226,71,31,25
105677,,,,,,,,,,,,,,,,6
105747,390,2072,19,403,0,0,403,271,67,292,0,0,292,153,52,15
105792,273,1063,26,212,0,0,212,145,68,109,0,0,109,45,41,15
105899,300,482,62,281,0,0,281,135,48,2,0,0,2,1,50,18
106041,,,,775,2,0,773,427,55,,,,,,,36
106111,,,,12,0,0,12,6,50,6,0,0,6,4,67,17
106148,500,2890,17,557,0,0,557,352,63,428,0,0,428,158,37,17
106245,446,1724,26,478,0,0,478,313,65,19,0,0,19,9,47,11
106263,,,,,,,,,,,,,,,,21
106306,128,228,56,91,0,0,91,18,20,48,0,0,48,12,25,23
106315,,,,4,0,0,4,3,75,,,,,,,20
106324,,,,25,0,0,25,21,84,3,0,0,3,2,67,8
106342,138,172,80,183,1,0,182,125,69,,,,,,,10
106351,,,,6,0,0,6,5,83,,,,,,,20
106360,,,,10,0,0,10,7,70,,,,,,,13
106397,6012,7862,76,4685,4,0,4681,4076,87,41,0,0,41,27,66,19
106412,590,848,70,608,1,0,607,385,63,77,0,0,77,24,31,14
106449,533,696,77,598,1,0,597,338,57,66,0,0,66,18,27,15
106458,1225,2557,48,1195,0,0,1195,893,75,52,0,0,52,19,37,14
106467,1337,1663,80,1388,0,0,1388,872,63,14,0,0,14,6,43,18
106485,412,873,47,259,0,0,259,179,69,5,0,0,5,4,80,12
106494,,,,15,0,0,15,10,67,,,,,,,19
106546,,,,3,0,0,3,2,67,,,,,,,9
106625,244,432,56,283,0,0,283,151,53,42,0,0,42,14,33,13
106704,1844,2339,79,1707,0,0,1707,1207,71,8,0,0,8,4,50,15
106713,136,237,57,113,0,0,113,74,65,0,0,0,0,0,,11
106795,173,572,30,152,0,0,152,95,63,62,0,0,62,23,37,18
106810,52,84,62,39,0,0,39,23,59,,,,,,,9
106883,122,283,43,124,0,0,124,61,49,24,0,0,24,16,67,11
106892,,,,,,,,,,,,,,,,12
106908,,,,58,0,0,58,37,64,6,0,0,6,3,50,12
106980,502,683,73,469,0,0,469,281,60,99,0,0,99,32,32,15
106999,179,240,75,256,0,0,256,137,54,28,0,0,28,8,29,13
107044,744,1203,62,745,0,3,748,630,84,2,0,0,2,1,50,16
107071,416,555,75,548,0,0,548,308,56,15,0,0,15,3,20,14
107080,315,332,95,310,0,0,310,249,80,,,,,,,11
107099,,,,13,0,0,13,7,54,,,,,,,19
107123,,,,,,,,,,,,,,,,8
107141,329,694,47,312,3,0,309,248,80,3,0,0,3,2,67,15
107220,,,,110,0,0,110,82,75,,,,,,,5
107293,,,,10,0,0,10,5,50,,,,,,,18
107318,85,447,19,74,0,0,74,39,53,48,0,0,48,19,40,10
107327,163,558,29,193,0,0,193,105,54,25,0,0,25,9,36,19
107442,,,,1,0,0,1,1,100,,,,,,,20
107460,268,387,69,247,0,0,247,139,56,55,0,0,55,18,33,14
107488,,,,180,0,0,180,166,92,2,0,0,2,2,100,6
107512,485,672,72,389,0,0,389,328,84,0,0,0,0,0,,13
107521,53,150,35,52,0,0,52,31,60,17,0,0,17,8,47,14
107549,123,414,30,149,0,0,149,82,55,12,1,0,11,4,36,14
107558,201,252,80,195,5,0,190,116,61,0,0,0,0,0,,15
107585,390,935,42,388,0,0,388,226,58,101,0,0,101,48,48,19
107600,90,142,63,93,0,0,93,51,55,9,0,0,9,3,33,12
107619,117,185,63,125,1,0,124,83,67,18,0,0,18,5,28,12
107637,39,369,11,77,0,0,77,36,47,106,0,0,106,35,33,10
107655,,,,10,0,0,10,8,80,,,,,,,19
107664,729,1452,50,740,0,0,740,410,55,203,0,0,203,74,36,15
107725,123,403,31,134,0,0,134,91,68,51,0,0,51,26,51,14
107743,172,340,51,234,0,0,234,152,65,18,0,0,18,8,44,28
107789,,,,19,0,0,19,14,74,,,,,,,20
107831,,,,7,0,0,7,6,86,,,,,,,25
107840,56,70,80,45,0,0,45,18,40,5,0,0,5,3,60,13
107877,190,244,78,220,0,0,220,47,21,0,0,0,0,0,,17
107974,172,518,33,129,0,0,129,64,50,59,0,0,59,24,41,13
107983,628,1013,62,768,0,0,768,492,64,8,0,0,8,1,13,15
107992,201,351,57,178,0,0,178,108,61,50,0,0,50,15,30,9
108065,,,,6,0,0,6,5,83,2,0,0,2,2,100,15
108092,748,1138,66,628,0,0,628,418,67,13,1,0,12,5,42,18
108232,281,1393,20,258,0,0,258,178,69,411,0,0,411,168,41,14
108667,129,2225,6,140,0,0,140,72,51,375,0,0,375,132,35,25
108807,691,2832,24,576,0,0,576,356,62,383,0,0,383,150,39,21
108852,76,117,65,25,0,0,25,22,88,,,,,,,11
108977,,,,1,0,0,1,1,100,10,0,0,10,9,90,25
109040,,,,69,0,0,69,52,75,,,,,,,31
109086,,,,0,0,0,0,0,,,,,,,,6
109208,1032,8187,13,1159,0,0,1159,794,69,1845,0,0,1845,695,38,26
109350,968,2980,32,0,0,0,0,0,,0,0,0,0,0,,20
109651,273,414,66,239,5,0,234,199,85,,,,,,,8
109721,,,,72,0,0,72,47,65,,,,,,,18
109730,,,,,,,,,,,,,,,,10
109785,624,866,72,608,0,0,608,482,79,16,0,0,16,4,25,10
109819,1435,7052,20,0,0,0,0,0,,0,0,0,0,0,,28
109907,195,824,24,177,0,0,177,110,62,101,0,0,101,31,31,21
109934,,,,22,0,0,22,17,77,,,,,,,19
110060,62,86,72,37,3,0,34,16,47,6,1,0,5,1,20,10
110097,645,1059,61,697,0,0,697,612,88,7,0,0,7,5,71,13
110194,,,,129,0,0,129,114,88,,,,,,,15
110219,267,377,71,0,0,0,0,0,,,,,,,,32
110246,965,3218,30,1075,0,0,1075,685,64,786,0,0,786,239,30,20
110316,,,,,,,,,,,,,,,,12
110334,729,2285,32,714,0,0,714,516,72,507,0,0,507,197,39,18
110361,1332,2381,56,1332,1,0,1331,1047,79,28,0,0,28,15,54,19
110370,209,301,69,191,0,0,191,157,82,,,,,,,8
110404,270,274,99,225,0,0,225,223,99,,,,,,,3
110413,490,661,74,514,0,0,514,428,83,0,0,0,0,0,,14
110422,4859,5774,84,4752,0,0,4752,4497,95,36,0,0,36,30,83,21
110468,,,,0,0,0,0,0,,0,0,0,0,0,,5
110486,1137,2646,43,1387,0,0,1387,1042,75,29,0,0,29,10,34,21
110495,874,2374,37,1166,0,0,1166,925,79,72,0,0,72,34,47,20
110510,1908,5093,37,2199,0,0,2199,1716,78,87,0,0,87,33,38,25
110529,3386,6909,49,4189,0,0,4189,3673,88,134,0,0,134,87,65,28
110538,1877,3506,54,2238,0,0,2238,1810,81,78,0,0,78,49,63,22
110547,1920,4781,40,2062,0,0,2062,1450,70,192,0,0,192,57,30,25
110556,3170,6500,49,3478,0,0,3478,2675,77,215,0,0,215,89,41,22
110565,4064,8505,48,5109,0,0,5109,4435,87,316,0,0,316,195,62,25
110574,921,3084,30,1066,0,0,1066,858,80,22,0,0,22,12,55,24
110583,4740,9497,50,4761,0,0,4761,4156,87,147,0,0,147,84,57,23
110592,3895,8036,48,3832,0,0,3832,2801,73,168,0,0,168,76,45,25
110608,4617,10865,42,3967,0,0,3967,3247,82,49,0,0,49,29,59,26
110617,3486,8115,43,3694,0,0,3694,2989,81,67,0,0,67,35,52,25
110635,6892,9611,72,6072,0,0,6072,5838,96,45,0,0,45,32,71,20
110644,7382,10479,70,6000,0,0,6000,5463,91,144,0,0,144,94,65,21
110653,6473,9378,69,5742,0,0,5742,5367,93,23,0,0,23,19,83,18
110662,6567,10018,66,6378,0,0,6378,6182,97,8,0,0,8,6,75,18
110671,5154,7311,70,4818,0,0,4818,4248,88,34,0,0,34,19,56,24
110680,7506,11148,67,6423,0,0,6423,6102,95,24,0,0,24,18,75,19
110705,4884,7007,70,4813,0,0,4813,4389,91,34,0,0,34,23,68,17
110714,4155,5935,70,4158,0,0,4158,3695,89,36,0,0,36,19,53,24
110778,,,,,,,,,,,,,,,,11
110875,,,,2,0,0,2,2,100,0,0,0,0,0,,15
110918,,,,1,0,0,1,0,0,,,,,,,2
111045,2,11,18,2,0,0,2,1,50,0,0,0,0,0,,12
111054,,,,4,0,0,4,4,100,,,,,,,16
111081,204,288,71,154,0,0,154,144,94,9,0,0,9,9,100,7
111188,195,265,74,186,0,0,186,145,78,,,,,,,12
111434,156,1899,8,166,0,0,166,127,77,540,0,0,540,205,38,19
111461,1287,3539,36,1481,0,0,1481,1035,70,787,0,0,787,284,36,23
111513,,,,18,0,0,18,15,83,1,0,0,1,1,100,21
111638,,,,5,0,0,5,3,60,,,,,,,19
111708,,,,30,0,0,30,26,87,,,,,,,25
111717,,,,34,0,0,34,23,68,0,0,0,0,0,,14
111726,,,,19,0,0,19,16,84,,,,,,,16
111744,,,,19,0,0,19,16,84,,,,,,,14
111762,,,,21,0,0,21,15,71,,,,,,,15
111799,,,,21,0,0,21,18,86,,,,,,,20
111887,1891,5393,35,2234,0,0,2234,1382,62,1246,0,0,1246,543,44,26
111896,168,1964,9,204,0,0,204,128,63,501,0,0,501,200,40,22
111920,771,3074,25,931,0,0,931,660,71,745,0,0,745,298,40,20
111939,1345,5698,24,1297,0,0,1297,928,72,1174,0,0,1174,568,48,21
111948,1645,2278,72,1538,0,0,1538,1414,92,14,0,0,14,12,86,12
111966,15,111,14,29,0,0,29,17,59,1,0,0,1,0,0,8
112075,341,536,64,311,1,0,310,237,76,,,,,,,15
112084,113,181,62,80,0,0,80,48,60,2,0,0,2,0,0,12
112172,870,2512,35,1103,0,0,1103,783,71,460,0,0,460,175,38,23
112181,,,,21,0,0,21,18,86,,,,,,,16
112190,1035,4013,26,963,0,0,963,651,68,1170,0,0,1170,438,37,19
112260,358,381,94,312,0,0,312,307,98,3,0,0,3,3,100,8
112288,,,,350,0,0,350,241,69,,,,,,,16
112367,,,,128,0,0,128,64,50,42,0,0,42,21,50,30
112385,79,2523,3,114,0,0,114,53,46,713,0,0,713,133,19,24
112394,16,40,40,19,0,0,19,12,63,5,0,0,5,1,20,12
112455,,,,18,0,0,18,9,50,,,,,,,13
112561,143,815,18,153,0,0,153,84,55,139,0,0,139,46,33,16
112570,,,,59,0,0,59,35,59,5,0,0,5,1,20,14
112686,150,1308,11,112,0,0,112,71,63,143,0,0,143,49,34,15
112826,271,1660,16,217,0,0,217,149,69,389,0,0,389,113,29,20
113096,1120,5043,22,1118,0,0,1118,791,71,1353,0,0,1353,523,39,27
113111,409,1684,24,640,0,0,640,432,68,348,0,0,348,162,47,20
113193,509,2653,19,413,0,0,413,271,66,358,0,0,358,140,39,25
113218,366,2654,14,322,0,0,322,224,70,663,0,0,663,254,38,25
113236,1345,4155,32,0,0,0,0,0,,0,0,0,0,0,,22
113333,2520,5136,49,2507,0,0,2507,1971,79,698,0,0,698,254,36,27
113449,,,,28,0,0,28,25,89,,,,,,,25
113537,,,,0,0,0,0,0,,,,,,,,6
113573,1116,2946,38,1288,0,0,1288,860,67,700,0,0,700,291,42,24
113582,3,23,13,2,0,0,2,1,50,0,0,0,0,0,,9
113634,1315,4423,30,1287,0,0,1287,949,74,991,0,0,991,435,44,24
113698,244,311,78,265,0,0,265,214,81,0,0,0,0,0,,10
113856,1270,7603,17,1283,0,0,1283,846,66,1663,0,0,1663,524,32,29
113980,2133,6137,35,2183,0,0,2183,1483,68,1284,0,0,1284,457,36,25
114266,576,2176,26,655,0,0,655,514,78,552,0,0,552,273,49,25
114354,290,564,51,140,0,0,140,124,89,2,0,0,2,1,50,18
114433,186,481,39,11,0,0,11,9,82,0,0,0,0,0,,17
114460,,,,33,0,0,33,29,88,20,0,0,20,16,80,15
114637,,,,2,0,0,2,2,100,,,,,,,20
114716,653,3475,19,0,0,0,0,0,,0,0,0,0,0,,23
114761,,,,4,0,0,4,4,100,,,,,,,19
114789,1219,6136,20,1491,0,0,1491,924,62,1325,0,0,1325,509,38,23
114813,195,660,30,190,0,0,190,136,72,5,0,0,5,5,100,11
114859,1713,4987,34,1875,0,0,1875,1275,68,1052,0,0,1052,442,42,22
114938,407,1593,26,401,0,0,401,282,70,289,0,0,289,83,29,22
114947,,,,,,,,,,,,,,,,4
115001,1070,2903,37,1146,0,0,1146,803,70,532,0,0,532,187,35,24
115010,,,,0,0,0,0,0,,,,,,,,8
115083,,,,,,,,,,,,,,,,15
115126,939,3723,25,1131,0,0,1131,753,67,736,0,0,736,220,30,26
115296,1107,3563,31,1327,0,0,1327,887,67,948,0,0,948,402,42,21
115357,,,,14,0,0,14,14,100,0,0,0,0,0,,15
115393,935,3293,28,981,0,0,981,595,61,560,0,0,560,179,32,24
115409,225,235,96,207,1,0,206,201,98,,,,,,,9
115658,,,,2,0,0,2,1,50,4,0,0,4,3,75,15
115728,99,161,61,132,0,0,132,82,62,3,0,0,3,0,0,9
115755,609,1405,43,532,0,0,532,392,74,14,0,0,14,8,57,16
115773,3,51,6,2,0,0,2,2,100,1,0,0,1,0,0,7
115861,922,1871,49,735,0,0,735,564,77,314,0,0,314,186,59,32
115931,,,,128,0,0,128,108,84,,,,,,,41
116226,,,,0,0,0,0,0,,0,0,0,0,0,,10
116350,,,,9,0,0,9,5,56,,,,,,,12
116439,1293,3844,34,1218,0,0,1218,974,80,662,0,0,662,301,45,27
116563,,,,7,0,0,7,6,86,,,,,,,23
116846,,,,,,,,,,,,,,,,2
117052,381,2007,19,362,0,0,362,227,63,373,0,0,373,143,38,19
117104,70,129,54,60,0,0,60,31,52,1,0,0,1,0,0,10
117140,672,973,69,651,2,0,649,517,80,9,0,0,9,6,67,13
117168,122,187,65,111,0,0,111,87,78,2,0,0,2,2,100,8
117195,89,678,13,105,0,0,105,46,44,234,0,0,234,71,30,15
117238,,,,0,0,0,0,0,,,,,,,,15
117247,181,2952,6,188,0,0,188,119,63,587,0,0,587,203,35,22
117274,120,538,22,107,0,0,107,56,52,165,0,0,165,29,18,14
117283,6,12,50,0,0,0,0,0,,1,0,0,1,0,0,8
117557,33,49,67,4,0,0,4,4,100,0,0,0,0,0,,16
117575,,,,0,0,0,0,0,,3,0,0,3,3,100,9
117627,257,455,56,270,0,0,270,194,72,1,0,0,1,1,100,16
117636,,,,,,,,,,,,,,,,3
117645,2413,6299,38,2690,0,0,2690,1841,68,1111,0,0,1111,412,37,27
117672,,,,,,,,,,0,0,0,0,0,,14
117690,465,2502,19,454,0,0,454,326,72,469,0,0,469,126,27,25
117706,1180,4866,24,1191,0,0,1191,876,74,1056,0,0,1056,472,45,24
117715,137,1933,7,113,0,0,113,73,65,280,0,0,280,63,23,20
117724,465,3728,12,349,0,0,349,214,61,788,0,0,788,215,27,20
117733,682,4707,14,748,0,0,748,545,73,936,0,0,936,318,34,21
117751,343,698,49,210,0,0,210,176,84,1,0,0,1,1,100,14
117788,614,4814,13,671,0,0,671,377,56,835,0,0,835,198,24,25
117803,,,,,,,,,,,,,,,,7
117867,473,3630,13,362,0,0,362,251,69,513,0,0,513,157,31,25
117894,790,2373,33,815,0,0,815,588,72,581,0,0,581,254,44,22
117946,1606,2178,74,1432,1,0,1431,1285,90,36,0,0,36,32,89,11
117955,,,,0,0,0,0,0,,0,0,0,0,0,,20
118134,,,,0,0,0,0,0,,0,0,0,0,0,,14
118143,,,,0,0,0,0,0,,8,0,0,8,7,88,9
118161,,,,0,0,0,0,0,,,,,,,,7
118198,,,,64,0,0,64,50,78,,,,,,,20
118347,252,1233,20,252,0,0,252,175,69,338,0,0,338,139,41,15
118541,66,160,41,98,0,0,98,59,60,,,,,,,16
118684,70,963,7,86,0,0,86,61,71,105,0,0,105,29,28,13
118693,148,205,72,127,0,0,127,90,71,2,1,0,1,0,0,14
118718,1015,2560,40,1091,0,0,1091,642,59,499,0,0,499,148,30,23
118772,120,2679,4,150,0,0,150,76,51,377,0,0,377,126,33,26
118888,38,93,41,123,0,0,123,76,62,1,0,0,1,0,0,8
118912,1039,3216,32,5,0,0,5,5,100,3,0,0,3,3,100,18
118930,276,1763,16,317,0,0,317,250,79,345,0,0,345,146,42,16
118958,,,,2,0,0,2,2,100,0,0,0,0,0,,15
118976,1413,3804,37,0,0,0,0,0,,0,0,0,0,0,,25
118994,,,,17,0,0,17,9,53,,,,,,,18
119058,,,,,,,,,,,,,,,,1
119067,453,2119,21,487,0,0,487,330,68,288,0,0,288,103,36,21
119137,1434,4082,35,1501,0,0,1501,1151,77,964,0,0,964,443,46,28
119164,2244,6410,35,2381,0,0,2381,1801,76,1525,0,0,1525,709,46,21
119173,365,577,63,364,0,0,364,266,73,6,0,0,6,2,33,13
119216,1458,5087,29,1412,0,0,1412,944,67,924,0,0,924,429,46,25
119270,92,212,43,15,0,0,15,7,47,5,0,0,5,2,40,5
119331,437,1313,33,555,0,0,555,397,72,239,0,0,239,88,37,15
119553,,,,271,0,0,271,206,76,,,,,,,10
119605,,,,1,0,0,1,1,100,7,0,0,7,4,57,16
119775,14,50,28,28,0,0,28,13,46,,,,,,,8
119951,,,,52,0,0,52,25,48,,,,,,,44
120069,,,,58,0,0,58,48,83,,,,,,,8
120078,,,,102,0,0,102,73,72,,,,,,,17
120087,,,,91,0,0,91,74,81,,,,,,,12
120166,1,6,17,1,0,0,1,0,0,0,0,0,0,0,,2
120254,535,575,93,402,0,0,402,369,92,,,,,,,9
120290,746,2437,31,710,0,0,710,583,82,463,0,0,463,167,36,24
120342,2188,5481,40,2106,0,0,2106,1521,72,1296,0,0,1296,618,48,26
120403,261,394,66,224,0,0,224,175,78,1,0,0,1,1,100,9
120421,503,2168,23,527,0,0,527,372,71,565,0,0,565,217,38,26
120537,96,172,56,90,0,0,90,59,66,3,0,0,3,3,100,13
120661,,,,146,0,0,146,94,64,0,0,0,0,0,,25
120698,,,,,,,,,,,,,,,,12
120768,,,,0,0,0,0,0,,0,0,0,0,0,,5
120838,,,,1,0,0,1,1,100,,,,,,,3
120865,128,231,55,105,0,0,105,64,61,4,0,0,4,0,0,12
120883,779,952,82,716,0,0,716,605,84,2,0,0,2,0,0,13
120953,63,1035,6,35,0,0,35,18,51,317,0,0,317,139,44,25
120971,1473,4832,30,1960,0,0,1960,1303,66,1065,0,0,1065,409,38,22
121044,2408,6141,39,2776,0,0,2776,2038,73,1147,0,0,1147,512,45,21
121150,1023,1175,87,726,1,0,725,677,93,7,0,0,7,2,29,13
121257,357,375,95,219,0,0,219,204,93,6,0,0,6,5,83,12
121275,,,,0,0,0,0,0,,,,,,,,12
121309,662,977,68,554,0,0,554,466,84,0,0,0,0,0,,15
121345,451,480,94,399,1,0,398,381,96,0,0,0,0,0,,7
121363,335,1204,28,287,0,0,287,179,62,183,0,0,183,58,32,21
121433,,,,1,0,0,1,1,100,13,0,0,13,8,62,20
121619,1144,6328,18,0,0,0,0,0,,0,0,0,0,0,,30
121637,,,,14,0,0,14,10,71,,,,,,,23
121691,517,730,71,509,0,0,509,411,81,2,0,0,2,2,100,11
121707,216,1221,18,198,0,0,198,113,57,166,0,0,166,53,32,14
121859,,,,23,0,0,23,9,39,11,0,0,11,9,82,15
121868,,,,16,0,0,16,13,81,11,0,0,11,7,64,15
121886,1110,4018,28,0,0,0,0,0,,0,0,0,0,0,,26
121901,1818,5985,30,2183,0,0,2183,1398,64,1515,0,0,1515,595,39,23
122117,,,,,,,,,,,,,,,,15
122180,1060,6366,17,1197,0,0,1197,808,68,1925,0,0,1925,521,27,25
122205,1340,4853,28,841,0,0,841,601,71,1054,0,0,1054,442,42,25
122296,,,,,,,,,,,,,,,,7
122339,460,4994,9,437,0,0,437,264,60,1053,0,0,1053,365,35,22
122375,903,5964,15,0,0,0,0,0,,0,0,0,0,0,,24
122384,456,4701,10,476,0,0,476,352,74,863,0,0,863,348,40,27
122409,5233,9637,54,4740,0,0,4740,4270,90,112,0,0,112,78,70,26
122436,1165,1593,73,993,0,0,993,913,92,4,0,0,4,3,75,13
122454,,,,,,,,,,,,,,,,4
122506,46,53,87,56,0,0,56,51,91,,,,,,,3
122597,2952,6997,42,2617,0,0,2617,2212,85,162,0,0,162,82,51,20
122612,1447,1831,79,1134,0,0,1134,979,86,8,0,0,8,5,63,13
122658,1609,4936,33,1839,0,0,1839,1274,69,1791,0,0,1791,767,43,35
122685,,,,0,0,0,0,0,,,,,,,,26
122694,,,,109,0,0,109,70,64,,,,,,,20
122728,170,411,41,164,0,0,164,101,62,1,0,0,1,0,0,13
122746,347,2387,15,358,0,0,358,228,64,723,0,0,723,229,32,22
122755,4009,8102,49,3221,0,0,3221,2851,89,107,0,0,107,68,64,24
122791,424,2525,17,450,0,0,450,349,78,710,0,0,710,358,50,18
122834,,,,0,0,0,0,0,,,,,,,,9
122889,1924,4470,43,1300,0,0,1300,901,69,583,0,0,583,266,46,34
122931,1553,1796,86,1257,1,0,1256,1185,94,2,0,0,2,2,100,11
122977,2722,6605,41,0,0,0,0,0,,0,0,0,0,0,,27
123013,687,2722,25,713,0,0,713,496,70,714,0,0,714,270,38,17
123165,316,330,96,203,0,0,203,196,97,17,0,0,17,16,94,10
123217,1221,3520,35,1374,0,0,1374,886,64,512,0,0,512,226,44,27
123280,1,2,50,1,0,0,1,0,0,0,0,0,0,0,,3
123299,286,1561,18,0,0,0,0,0,,0,0,0,0,0,,23
